city,country,lat,lon,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp
Mumbai,India,19.076,72.8777,3,82.4,0.01,0.05,52.38,0.33,17.97,81.53,0.0,2025-05-30 08:41:05
Toronto,Canada,43.651,45.4215,2,84.43,0.09,0.3,76.24,0.23,4.06,5.28,5.22,2025-05-30 08:53:15
Shanghai,China,31.2304,121.4737,5,263.97,0.61,8.46,194.68,13.41,45.21,50.3,2.88,2025-05-30 08:43:32
Tokyo,Japan,35.6895,139.6917,3,154.15,0.06,9.47,108.16,4.01,2.96,5.69,0.47,2025-05-30 08:34:05
Rome,Italy,41.9028,12.4964,2,135.48,0.12,0.61,91.76,0.39,9.32,15.69,0.54,2025-05-30 08:40:08
Seoul,South Korea,37.5665,126.978,4,227.3,0.25,4.72,146.97,5.22,36.16,39.53,1.51,2025-05-30 08:39:20
Moscow,Russia,55.7558,37.6173,2,99.69,0.04,0.78,83.13,0.53,7.36,18.74,0.65,2025-05-30 08:38:42
New York,USA,40.7128,-74.006,1,156.83,0.0,3.99,31.78,0.7,8.43,8.97,0.24,2025-05-30 08:37:49
Sao Paulo,Brazil,-23.5505,-46.6333,1,82.24,0.02,1.98,9.35,0.1,3.37,4.12,0.07,2025-05-30 08:31:32
Berlin,Germany,52.52,13.405,1,112.05,0.95,2.99,45.15,1.1,2.44,3.03,4.88,2025-05-30 08:37:05
